22,13,10,16,19
5,3,27,24,25
26,23,2,14,4
6,1,20,21,12
7,9,11,18,15

27,24,4,26,1
23,14,10,25,21
2,9,3,11,22
6,5,20,19,15
18,13,7,12,16

19,27,23,25,12
10,24,14,15,21
3,5,22,7,1
6,2,13,20,16
18,26,4,11,9

27,10,11,2,26
14,1,16,19,5
13,22,24,25,20
4,12,18,7,23
9,6,21,3,15

27,22,4,11,19
12,6,1,25,14
3,13,23,24,26
5,18,7,16,2
20,21,9,10,15

10,19,12,20,25
4,22,7,14,15
23,21,24,26,27
13,16,2,1,3
6,5,9,18,11

23,10,15,14,5
4,19,24,27,26
12,18,22,9,2
1,16,3,13,20
6,25,7,11,21

22,4,21,14,19
23,24,20,5,26
13,15,12,27,1
9,2,3,6,16
11,18,25,10,7

20,12,5,1,25
22,18,27,15,24
19,4,13,2,3
21,10,11,7,23
14,9,6,26,16

3,4,12,21,27
19,13,1,2,16
24,20,26,5,15
23,10,25,9,14
11,18,22,6,7

